,pos,win
0,"[[11583,4778]]",0
1,"[[3643,6262],[394,461],[1602,3000]]",0
2,"[[3465,7746],[6414,4899],[5472,1646]]",0
3,"[[6895,5138],[2820,8193],[5637,12718]]",1
4,"[[6824,5508],[4656,9530],[945,770]]",1
5,"[[6370,4896],[4565,9549],[3751,10925]]",1
6,"[[4793,7334]]",1
7,"[[6942,4860],[5045,9387],[4427,5938]]",1
8,"[[7484,5178],[10006,5939]]",0
9,"[[11206,5755]]",0
10,"[[8103,2415],[3191,7746],[10630,5062]]",1
11,"[[8519,5509]]",1
12,"[[6949,5249],[4932,9057],[1919,1583]]",0
13,"[[8556,2455],[10450,5493],[4137,9361]]",0
14,"[[7007,5294],[3890,6220],[2434,11711]]",0
15,"[[7262,4962],[3401,10209]]",1
16,"[[3324,7048],[3209,11912]]",1
17,"[[6970,5232],[2286,8432],[7723,9791]]",1
18,"[[6924,4858],[5746,6523]]",0
19,"[[11011,4543]]",1
20,"[[8289,2534],[3659,6568],[2848,11349]]",0
21,"[[4706,9424],[5951,5198]]",0
22,"[[7042,4274]]",1
23,"[[9942,2593]]",0
24,"[[4749,9132],[4104,9791],[6030,12393]]",0
25,"[[7040,4083],[2709,10342]]",1
26,"[[7019,5271],[6491,8134]]",0
27,"[[6775,4872],[4876,9107],[7309,9752]]",0
28,"[[9267,2125]]",0
29,"[[12797,3215]]",1
30,"[[8464,2593],[12225,3282]]",0
31,"[[8223,2405],[12488,2425],[8409,6340]]",1
32,"[[7054,4701],[4599,4089]]",1
33,"[[8564,2271],[5055,9614],[3783,10610]]",1
34,"[[7675,3844],[9355,5849]]",0
35,"[[9034,2310],[8897,5876]]",1
36,"[[6966,5259],[11066,8378],[11901,5314]]",1
37,"[[7174,5258],[2532,8243],[6086,6013]]",1
38,"[[3715,8324],[7686,3660],[4002,9376]]",0
39,"[[3590,8035],[9022,5642]]",1
40,"[[11140,4658]]",1
41,"[[2371,8426],[6797,4988],[8335,2521]]",0
42,"[[3560,8055],[6578,6227]]",1
43,"[[7038,5360],[5517,8903]]",0
44,"[[4920,9088],[6910,5374]]",1
45,"[[3873,7686],[4137,11538]]",1
46,"[[7716,5230],[10843,8472],[8857,2575]]",0
47,"[[8524,2521],[6224,8258]]",1
48,"[[4813,7971]]",0
49,"[[8266,2556],[1070,2034]]",0
50,"[[4717,8991],[2764,6441]]",0
51,"[[2815,8189],[5897,9159]]",1
52,"[[4807,8701]]",1
53,"[[7195,5182],[4185,9614],[4200,11889]]",0
54,"[[4552,6881]]",0
55,"[[7231,5046],[4807,8260]]",0
56,"[[4836,8279]]",1
57,"[[8184,10130]]",1
58,"[[8906,2373],[11388,5783]]",1
59,"[[7319,7574],[875,1745]]",1
60,"[[8155,3460],[10942,4722],[3272,7932]]",0
61,"[[6759,4987],[3070,7491],[13223,2382]]",1
62,"[[8457,2563],[6229,6918]]",1
63,"[[4747,9178],[1959,11628]]",1
64,"[[6996,4761],[3244,7906],[10287,3122]]",0
65,"[[6795,5010],[2112,8450],[7039,9624]]",1
66,"[[8662,2493],[6218,6051]]",1
67,"[[4933,8943]]",0
68,"[[5884,5294]]",1
69,"[[5498,5447]]",0
70,"[[8346,2258],[10424,5302],[2212,9665]]",1
71,"[[7223,5106],[4839,7374]]",0
72,"[[4805,8463]]",0
73,"[[4835,8464]]",0
74,"[[8736,2405],[3979,9545],[2944,11223]]",1
75,"[[2823,8086],[4290,6048],[9153,2191]]",0
76,"[[2957,8180],[5324,12506]]",0
77,"[[7892,3967],[12898,1771]]",1
78,"[[7018,4327]]",1
79,"[[8018,5385]]",0
80,"[[6588,11986],[5307,5749]]",1
81,"[[8404,2589],[11442,6723],[7140,5269],[3332,8622]]",1
82,"[[7713,2455],[2686,8221],[6567,4776]]",0
83,"[[6999,5014],[2813,6965]]",0
84,"[[9468,6109]]",1
85,"[[8388,2399],[9850,5422],[3366,8083],[651,535]]",0
86,"[[7155,3890],[3470,8490],[3378,7880]]",0
87,"[[11187,6402],[12120,2991]]",0
88,"[[8506,2649],[10331,7735]]",1
89,"[[6870,5075],[3782,7739],[5672,6145]]",1
90,"[[7218,3928],[3357,6845],[7247,9677]]",1
91,"[[3843,6579],[10749,5067],[12158,2704]]",1
92,"[[6147,8463]]",0
93,"[[7568,5166],[6832,8588]]",1
94,"[[8811,2386],[4041,9741],[3579,10170]]",1
95,"[[3523,8557],[11541,6585]]",1
96,"[[7723,3742],[3908,6443],[1636,3257]]",1
97,"[[4611,9078],[3431,7780],[3002,7611]]",0
98,"[[5100,9174]]",0
99,"[[8975,2563],[3669,8391],[3124,2008]]",1
100,"[[7045,5075],[3532,7084],[9486,5540]]",0
101,"[[6928,5022],[2385,8489],[2813,12640]]",1
102,"[[6892,8039]]",0
103,"[[3869,6359],[4161,9608],[7641,3220]]",0
104,"[[7492,3917],[3143,7637],[2879,9962]]",0
105,"[[6772,4882],[3577,8701]]",1
106,"[[12583,2335],[2197,8654]]",1
107,"[[9089,2576],[9473,5534]]",0
108,"[[8005,2159],[7407,9653],[752,1492]]",0
109,"[[4743,6726]]",0
110,"[[6617,4564]]",1
111,"[[8958,2328],[6214,11173]]",1
112,"[[6824,5049],[3997,11430]]",1
113,"[[6864,9300]]",1
114,"[[6149,4987]]",0
115,"[[8902,2307],[5220,8512]]",0
116,"[[6910,4864],[3486,8587],[1092,754],[7579,2728]]",0
117,"[[4550,5945]]",1
118,"[[6466,4830],[2529,4731]]",0
119,"[[7547,3429],[2877,3569]]",1
120,"[[8011,2308],[11184,4952]]",1
121,"[[6727,4876],[4325,9625],[763,527]]",1
122,"[[6600,4775],[2526,8340],[1581,722]]",1
123,"[[3653,6395],[2882,10297]]",0
124,"[[8550,2284],[12225,3236]]",0
125,"[[9922,5351],[4262,7103]]",1
126,"[[6857,9088]]",1
127,"[[9434,7142]]",0
128,"[[8391,2223],[4374,9385],[5729,8432]]",1
129,"[[8481,2344],[11465,6241],[9834,3260]]",0
130,"[[8661,2252],[3600,10224]]",0
131,"[[8101,2260],[13698,3652]]",1
132,"[[8559,2597],[7510,8525]]",1
133,"[[8927,2402],[12566,2220],[8043,5558]]",1
134,"[[7519,5150],[2903,8100],[8101,7796]]",0
135,"[[8340,2604],[6941,5075],[3355,8889]]",0
136,"[[4838,9510],[3176,8048],[11139,5780]]",1
137,"[[4797,7741]]",1
138,"[[8533,2648],[5367,8546]]",0
139,"[[3455,6541],[5647,7635]]",1
140,"[[6789,4941],[2196,8394],[7444,9904]]",1
141,"[[6911,5392],[6137,8540]]",0
142,"[[7344,4899],[8442,6349]]",0
143,"[[4796,8456]]",1
144,"[[12308,3306]]",0
145,"[[5779,8417]]",1
146,"[[12510,3170]]",1
