,matchId,pos,position2,position3,position4,distance2,distance3,x_position4,y_position4
290,2925071535,"[array([5098., 5866.]), array([3552., 6646.]), array([7663., 3890.]), array([7930., 8011.]), array([2763., 7970.]), array([12604.,  2532.])]",[3552. 6646.],[7663. 3890.],[7930. 8011.],570.9816109122955,196.64434901618708,7930.0,8011.0
432,2925072064,"[array([5187., 8527.]), array([3438., 6792.]), array([7084., 4423.]), array([10622.,  3108.]), array([11934.,  1387.]), array([2637., 5762.])]",[3438. 6792.],[7084. 4423.],[10622.  3108.],599.256205641627,593.2832375855565,10622.0,3108.0
478,2925072257,"[array([662., 285.]), array([3438., 6845.]), array([7212., 3933.]), array([3818., 7148.]), array([8220., 6967.]), array([9601., 4190.])]",[3438. 6845.],[7212. 3933.],[3818. 7148.],582.9828470890031,295.6907167971291,3818.0,7148.0
838,2925073495,"[array([3619., 9037.]), array([3696., 6520.]), array([7512., 3649.]), array([699., 893.]), array([4708., 9481.]), array([2325., 8629.])]",[3696. 6520.],[7512. 3649.],[699. 893.],568.1689889460705,351.20506830055854,699.0,893.0
3259,2925122832,"[array([4707., 9034.]), array([3620., 6620.]), array([7782., 3740.]), array([6875., 5040.]), array([3889., 6275.]), array([10318.,  3245.])]",[3620. 6620.],[7782. 3740.],[6875. 5040.],537.4011537017761,383.5674647307824,6875.0,5040.0
5182,2925129345,"[array([3592., 9351.]), array([3853., 6561.]), array([7575., 3315.]), array([7262., 4861.]), array([ 3669., 10362.]), array([3676., 6039.])]",[3853. 6561.],[7575. 3315.],[7262. 4861.],462.957881453594,689.0936075744717,7262.0,4861.0
5514,2925151333,"[array([5268., 9158.]), array([3585., 6503.]), array([7501., 3766.]), array([6943., 1312.]), array([8446., 6517.]), array([12571.,  5038.])]",[3585. 6503.],[7501. 3766.],[6943. 1312.],647.4828183048567,234.00213674238105,6943.0,1312.0
8990,2925383268,"[array([5692., 5264.]), array([3302., 6856.]), array([7088., 4090.]), array([3612., 9616.]), array([7974., 1994.]), array([10163.,  2963.])]",[3302. 6856.],[7088. 4090.],[3612. 9616.],712.6990949903052,421.7155439392767,3612.0,9616.0
12679,2925398419,"[array([3611., 9017.]), array([3570., 6518.]), array([7764., 4022.]), array([10165.,  5336.]), array([ 6558., 11300.]), array([ 1067., 10254.])]",[3570. 6518.],[7764. 4022.],[10165.  5336.],645.9287886446926,264.9150807334305,10165.0,5336.0
15742,2925410635,"[array([3378., 7784.]), array([3741., 6530.]), array([7608., 4076.]), array([8664., 3862.]), array([10105.,  5194.]), array([6970., 5318.])]",[3741. 6530.],[7608. 4076.],[8664. 3862.],536.6386121031546,132.06059215375342,8664.0,3862.0
16056,2925411841,"[array([2667., 4901.]), array([3629., 6356.]), array([7525., 3803.]), array([10786.,   939.]), array([3478., 9249.]), array([2309., 4203.])]",[3629. 6356.],[7525. 3803.],[10786.   939.],743.220694006834,198.57995870681412,10786.0,939.0
19986,2925427236,"[array([8270., 3538.]), array([3660., 6620.]), array([7975., 3514.]), array([12206.,  3130.]), array([3279., 7130.]), array([13548.,  3119.])]",[3660. 6620.],[7975. 3514.],[12206.  3130.],509.9019513592785,679.5741313499212,12206.0,3130.0
27385,2925457412,"[array([662., 285.]), array([3532., 6528.]), array([7699., 3648.]), array([9454., 2395.]), array([10075.,   975.]), array([12275.,  1326.])]",[3532. 6528.],[7699. 3648.],[9454. 2395.],664.6863922181648,404.357515077932,9454.0,2395.0
