pos,parent,pathIndices
"[2250, 8250]",,"[44, 66, 566, 684, 717, 1197, 1270, 1313, 1426, 1640, 2066, 2237, 2307, 2370, 2998, 3099, 3542, 3673, 3681, 3886, 4020, 4389, 4747, 4953, 5230, 5441, 5566, 5584, 5632, 6028, 6267, 6352, 6893, 7205, 7262, 7518, 7889, 8313, 8469, 8983, 9123, 9207, 9363, 9408, 9536, 9547, 9794, 10016, 10106, 10256, 10410, 10530, 10579, 10731, 10796, 10934, 11284, 11509, 11965, 12683, 12804, 12836, 13270, 13305, 13434, 13946, 14164, 14174, 14436, 14768, 14776, 15068, 15477, 15694, 15789, 15987, 16096, 16162, 16202, 16565, 16661, 16898, 17197, 17453, 17580, 17641, 17745, 17769, 17867, 17878, 17886, 17962, 18030, 18169, 18229, 18338, 18412, 18496, 18863, 18977, 19118, 19324, 19420, 19725, 19818, 19857, 19924, 20036, 20097, 20588, 20731, 21434, 21536, 22225, 22343, 22517, 22627, 23191, 23389, 23407, 23497, 23609, 23638, 24892, 25355, 25514, 25835, 25864, 25874, 26018, 26111, 26647, 26686, 26812, 26904, 26933, 26950, 27103, 27136, 27247, 27364, 27612, 27613, 27906, 28146, 28206, 28314, 28433, 29150, 29222, 29250, 29890, 29934, 30475, 30745, 31326, 31437, 32275, 32393, 34084, 34151, 34649, 35031, 35424, 36089, 36142, 36476, 36837, 37035, 37057, 37153, 37191, 37291, 37475, 37504, 37825, 38100, 38630, 38711, 38730, 38874, 39028, 39643, 39737, 40002, 40118, 40141, 40498, 40870, 40997, 41212, 42056, 42097, 42578, 42986, 43032, 43827, 43943, 44065, 44731, 44929, 44990, 45146, 45326, 45443, 45551, 46123, 46146, 46355, 46415, 46871, 47201, 47392, 47466, 47525, 47605, 48314, 48350, 48360, 48608, 48663, 49014, 49286, 49394, 49998, 50088, 50557, 50970, 51000, 51346, 51433, 51819, 52969, 53030, 53418, 53550, 53771, 53934, 54001, 54494, 54514, 54628, 54683, 55781, 55782, 55885, 56570, 56688, 56805, 57135, 57362, 57374, 57397, 57457, 58042, 58054, 58166, 58197, 58220, 58417, 58865, 59033, 59122, 59431, 59875, 59901, 59930, 60157, 61087, 61516, 62048, 62197, 62209, 62602, 62734, 63182, 63342, 63429, 63448, 63622, 63847, 63853, 64101, 64389, 64480, 64593, 64707, 64746, 65051, 65228, 65298, 67108, 67521, 67690, 68230, 68376, 68500, 68888, 69555, 69579, 69700, 70089, 70211, 70521, 70584, 70799, 71173, 71271, 71489, 71546, 72200, 72551, 72984]"
"[3500, 8000]",,"[132, 231, 259, 360, 381, 401, 417, 487, 566, 593, 617, 626, 657, 772, 837, 860, 891, 937, 940, 1022, 1141, 1258, 1313, 1319, 1345, 1462, 1475, 1495, 1708, 1758, 1766, 1773, 1779, 1826, 1884, 1926, 2029, 2091, 2221, 2235, 2349, 2370, 2389, 2467, 2498, 2507, 2604, 2629, 2657, 2734, 2735, 2975, 3019, 3131, 3174, 3207, 3330, 3400, 3426, 3458, 3604, 3647, 3694, 3726, 3749, 3762, 3778, 3904, 3925, 4020, 4178, 4184, 4397, 4480, 4621, 4747, 4857, 4921, 4949, 5016, 5221, 5225, 5253, 5302, 5339, 5363, 5441, 5607, 5753, 5761, 5819, 5939, 5983, 6126, 6270, 6335, 6396, 6466, 6772, 6789, 6892, 6996, 7029, 7158, 7186, 7478, 7521, 7524, 7527, 7541, 7596, 7757, 7762, 7770, 7840, 7862, 7901, 7948, 7951, 7952, 7970, 7978, 8058, 8097, 8103, 8327, 8345, 8452, 8556, 8587, 8851, 9136, 9151, 9226, 9332, 9342, 9360, 9365, 9377, 9520, 9598, 9675, 9695, 9713, 9714, 9794, 9798, 9843, 9845, 9884, 10014, 10070, 10106, 10174, 10275, 10491, 10530, 10648, 10713, 10723, 10735, 10757, 10776, 10814, 10881, 10897, 11074, 11108, 11289, 11300, 11395, 11481, 11636, 11990, 12007, 12023, 12044, 12063, 12141, 12169, 12284, 12320, 12465, 12587, 12602, 12616, 12732, 12744, 12804, 12823, 12825, 12842, 12999, 13124, 13150, 13224, 13227, 13306, 13310, 13502, 13515, 13620, 13646, 13669, 13935, 14075, 14124, 14161, 14174, 14308, 14529, 14554, 14606, 14638, 14677, 14797, 14887, 14890, 14950, 14965, 15002, 15064, 15121, 15230, 15239, 15308, 15331, 15361, 15391, 15492, 15530, 15577, 15597, 15650, 15719, 15725, 16026, 16145, 16157, 16162, 16188, 16280, 16293, 16297, 16313, 16341, 16396, 16397, 16432, 16446, 16479, 16544, 16576, 16601, 16666, 16672, 16797, 16817, 16829, 17150, 17156, 17225, 17235, 17242, 17380, 17428, 17523, 17546, 17580, 17607, 17701, 17809, 17822, 17895, 17897, 17953, 17956, 18038, 18060, 18201, 18370, 18389, 18409, 18458, 18679, 18817, 18862, 18863, 18955, 19023, 19165, 19296, 19308, 19319, 19389, 19420, 19510, 19537, 19557, 19563, 19585, 19684, 19725, 19735, 19752, 19792, 19982, 20036, 20074, 20078, 20117, 20201, 20236, 20428, 20588, 20645, 20739, 20805, 20854, 20872, 20904, 20938, 20964, 20985, 21125, 21347, 21388, 21434, 21461, 21484, 21587, 21607, 21621, 21712, 21772, 21794, 21876, 21966, 22044, 22229, 22243, 22257, 22300, 22308, 22355, 22370, 22395, 22410, 22481, 22564, 22649, 22698, 22701, 22723, 22908, 22928, 22931, 22940, 23098, 23171, 23205, 23279, 23325, 23390, 23440, 23484, 23546, 23585, 23594, 23699, 23729, 23779, 23873, 24019, 24045, 24116, 24194, 24424, 24432, 24435, 24460, 24461, 24471, 24597, 24627, 24682, 24697, 24811, 24855, 24912, 25062, 25092, 25099, 25250, 25282, 25455, 25494, 25541, 25543, 25628, 25632, 25664, 25732, 25805, 25855, 25876, 25949, 25983, 26018, 26039, 26075, 26109, 26155, 26398, 26473, 26476, 26621, 26639, 26649, 26844, 26885, 26921, 26963, 26982, 27021, 27261, 27364, 27532, 27663, 27738, 27849, 27856, 27857, 27905, 27924, 27937, 27946, 27960, 27985, 27999, 28099, 28155, 28243, 28258, 28374, 28380, 28513, 28516, 28535, 28619, 28890, 29040, 29143, 29150, 29167, 29168, 29169, 29190, 29192, 29266, 29288, 29295, 29322, 29388, 29428, 29436, 29457, 29478, 29604, 29605, 29764, 29812, 29822, 29915, 30085, 30150, 30215, 30245, 30253, 30293, 30343, 30375, 30464, 30477, 30499, 30528, 30707, 30886, 30936, 31170, 31178, 31206, 31311, 31371, 31417, 31440, 31478, 31479, 31575, 31670, 31844, 31894, 31911, 32054, 32236, 32403, 32489, 32576, 32594, 32611, 32680, 32709, 32719, 32760, 32924, 32961, 32967, 32999, 33007, 33142, 33327, 33519, 33522, 33621, 33654, 33698, 33723, 33724, 33760, 33818, 33852, 33941, 33978, 34061, 34109, 34122, 34158, 34193, 34208, 34237, 34347, 34397, 34432, 34497, 34606, 34668, 34695, 34724, 34784, 34785, 34883, 34884, 34897, 34960, 35031, 35164, 35227, 35280, 35330, 35476, 35548, 35549, 35574, 35598, 35673, 35678, 35825, 36008, 36054, 36111, 36168, 36193, 36382, 36389, 36484, 36507, 36526, 36550, 36587, 36635, 36663, 36713, 36728, 36790, 36804, 36841, 36842, 36978, 36981, 37000, 37067, 37075, 37246, 37293, 37341, 37412, 37459, 37466, 37515, 37597, 37646, 37692, 37733, 37767, 37832, 37838, 37967, 38013, 38061, 38196, 38230, 38368, 38433, 38450, 38462, 38591, 38635, 38660, 38692, 38733, 38787, 38856, 38857, 38931, 38945, 38989, 39028, 39226, 39258, 39325, 39362, 39404, 39431, 39588, 39603, 39610, 39709, 39763, 39809, 39860, 39879, 39894, 40020, 40060, 40109, 40177, 40283, 40538, 40590, 40603, 40612, 40777, 40781, 40806, 40809, 40941, 40943, 41264, 41318, 41331, 41347, 41461, 41511, 41532, 41650, 41686, 41774, 41989, 42013, 42076, 42288, 42323, 42385, 42402, 42423, 42530, 42598, 42630, 42642, 42710, 42795, 42883, 42906, 42950, 43032, 43045, 43078, 43124, 43280, 43397, 43427, 43470, 43482, 43597, 43622, 43646, 43751, 43827, 43838, 43869, 43886, 43930, 43993, 44115, 44120, 44155, 44178, 44220, 44327, 44334, 44354, 44374, 44494, 44518, 44532, 44546, 44588, 44642, 44731, 44750, 44838, 44874, 44916, 44943, 44975, 45009, 45147, 45170, 45179, 45252, 45287, 45297, 45362, 45422, 45426, 45448, 45460, 45754, 45827, 46097, 46124, 46173, 46370, 46450, 46475, 46568, 46583, 46600, 46727, 46762, 46806, 46808, 46841, 46889, 46890, 47072, 47098, 47149, 47154, 47214, 47327, 47380, 47392, 47446, 47520, 47720, 47736, 47800, 47818, 47824, 47948, 47969, 48054, 48130, 48152, 48170, 48197, 48231, 48265, 48292, 48298, 48332, 48335, 48425, 48468, 48476, 48501, 48517, 48527, 48606, 48608, 48634, 48693, 48751, 48937, 48991, 49077, 49107, 49108, 49116, 49139, 49197, 49254, 49346, 49368, 49430, 49519, 49527, 49609, 49617, 49628, 49668, 49701, 49713, 49729, 49734, 49765, 49947, 50001, 50129, 50153, 50207, 50211, 50319, 50398, 50416, 50461, 50488, 50702, 50729, 50790, 51057, 51059, 51089, 51104, 51226, 51239, 51283, 51287, 51298, 51304, 51340, 51381, 51393, 51399, 51433, 51434, 51439, 51448, 51450, 51457, 51515, 51525, 51535, 51589, 51662, 51814, 51897, 51993, 52023, 52100, 52164, 52215, 52216, 52324, 52329, 52340, 52347, 52403, 52439, 52535, 52549, 52647, 52670, 52716, 52777, 52910, 52920, 52932, 53105, 53284, 53507, 53550, 53573, 53577, 53612, 53762, 53771, 53853, 53886, 53891, 53980, 53982, 54002, 54215, 54272, 54292, 54471, 54543, 54629, 54665, 54671, 54683, 54732, 54900, 55041, 55101, 55177, 55210, 55293, 55353, 55382, 55433, 55469, 55470, 55580, 55680, 55687, 55729, 55741, 55768, 55821, 55885, 55937, 55952, 56002, 56068, 56148, 56256, 56459, 56475, 56477, 56560, 56752, 56762, 56784, 56821, 56876, 56905, 56921, 56947, 57005, 57040, 57075, 57077, 57133, 57140, 57161, 57191, 57350, 57385, 57390, 57495, 57507, 57517, 57533, 57550, 57601, 57665, 57737, 57761, 57983, 57992, 58049, 58175, 58215, 58220, 58289, 58338, 58484, 58530, 58545, 58586, 58715, 58741, 58755, 58886, 58994, 59063, 59116, 59145, 59217, 59253, 59260, 59297, 59314, 59364, 59409, 59444, 59520, 59549, 59631, 59694, 59739, 59825, 59875, 59927, 59982, 60061, 60145, 60206, 60296, 60381, 60446, 60495, 60560, 60646, 60697, 60701, 60706, 60807, 60814, 60819, 60875, 60948, 60986, 61038, 61071, 61225, 61273, 61326, 61338, 61369, 61396, 61497, 61574, 61639, 61652, 61730, 61738, 61845, 61849, 61879, 61918, 61967, 62010, 62100, 62123, 62140, 62208, 62378, 62386, 62471, 62492, 62552, 62915, 63009, 63171, 63282, 63318, 63446, 63455, 63519, 63581, 63603, 63653, 63670, 63680, 63688, 63719, 63800, 63810, 63961, 64024, 64223, 64229, 64298, 64299, 64357, 64369, 64413, 64476, 64491, 64626, 64656, 64707, 64719, 64771, 64843, 64889, 65047, 65088, 65103, 65228, 65231, 65256, 65310, 65319, 65326, 65357, 65458, 65468, 65563, 65621, 65649, 65665, 65704, 65794, 65879, 66029, 66060, 66062, 66178, 66180, 66183, 66358, 66432, 66593, 66708, 66885, 66913, 66934, 66995, 67000, 67019, 67108, 67128, 67178, 67183, 67241, 67324, 67521, 67556, 67608, 67620, 67648, 67654, 67920, 67995, 68025, 68153, 68259, 68264, 68311, 68387, 68433, 68531, 68620, 68710, 68712, 68847, 68994, 69095, 69186, 69310, 69323, 69382, 69444, 69562, 69597, 69612, 69773, 69819, 70037, 70057, 70063, 70142, 70201, 70263, 70294, 70325, 70409, 70466, 70503, 70521, 70615, 70616, 70694, 70730, 70855, 70893, 70901, 70910, 70932, 70974, 70998, 71110, 71115, 71139, 71210, 71228, 71260, 71284, 71367, 71371, 71377, 71401, 71445, 71489, 71506, 71643, 71669, 71717, 71858, 71888, 71943, 71953, 71987, 72001, 72041, 72115, 72145, 72250, 72280, 72313, 72351, 72410, 72425, 72497, 72542, 72660, 72738, 72872, 72947, 72984, 72989]"
"[3750, 6500]",,"[11, 1783, 2163, 3007, 3270, 3665, 4581, 5822, 7064, 7366, 7833, 8525, 8962, 9422, 10249, 11115, 13731, 13739, 14290, 15088, 15102, 15656, 16049, 17316, 17447, 17556, 17998, 18738, 18748, 20651, 21939, 22236, 22732, 23102, 24463, 25011, 25070, 25158, 26263, 27305, 27522, 27715, 27805, 27921, 31369, 31646, 33110, 33282, 33283, 33301, 34950, 35824, 35884, 36375, 36388, 37447, 38103, 38116, 38638, 38687, 39721, 39986, 40682, 41268, 42525, 42526, 42914, 43063, 44006, 47341, 49757, 49923, 51302, 51475, 51524, 51932, 52205, 52265, 52805, 53245, 54024, 54810, 55249, 55584, 55714, 56135, 56751, 57327, 58188, 58910, 59052, 60338, 61112, 61549, 62116, 63500, 63752, 63912, 64646, 65306, 65981, 66467, 66682, 66996, 68335, 68805, 69135, 70119, 70375, 70491, 70735, 71037, 72303, 72534]"
"[7000, 5000]",,"[76, 320, 379, 433, 586, 707, 909, 1133, 1150, 1381, 1455, 1688, 1787, 1976, 2285, 2488, 2517, 2550, 2714, 3326, 3339, 3579, 3977, 4003, 4059, 4465, 4644, 4649, 5135, 5222, 5362, 5540, 5564, 5664, 5751, 5938, 6070, 6216, 6629, 7354, 7581, 7765, 7931, 8067, 8438, 8522, 8571, 8585, 8629, 8829, 9261, 9387, 9438, 10248, 10484, 10529, 10679, 10876, 10932, 11013, 11158, 11208, 11457, 11626, 11729, 12261, 12292, 12306, 12421, 12500, 12524, 13131, 13241, 13369, 13770, 13960, 14012, 14057, 14141, 14172, 14627, 14717, 14788, 14804, 15268, 15802, 16111, 16184, 16481, 16607, 16671, 16707, 17181, 17215, 17260, 17360, 17635, 17664, 17834, 17912, 17955, 18478, 18490, 18711, 18960, 18978, 19214, 19339, 19613, 19727, 20032, 20171, 20178, 20379, 20392, 20446, 20821, 20948, 20957, 21005, 21220, 21415, 22912, 23228, 23332, 23457, 23461, 23611, 23868, 23912, 24136, 24983, 25123, 25254, 25350, 25419, 26124, 26318, 26487, 26743, 26753, 27009, 27022, 27200, 27380, 27446, 27546, 27868, 28511, 28667, 28729, 28787, 28795, 28876, 29041, 29057, 29242, 29244, 29415, 29939, 30201, 30305, 30330, 30773, 30951, 31275, 32015, 32134, 33087, 33152, 33194, 33249, 33341, 33933, 35328, 35408, 35950, 36005, 36117, 36813, 37480, 37662, 37696, 37950, 37962, 38009, 38535, 38593, 38625, 38752, 38950, 38977, 39491, 39542, 39579, 39625, 39754, 40122, 40342, 41156, 41914, 42115, 42169, 42215, 42321, 42355, 42962, 42991, 43010, 43223, 43743, 43754, 43769, 43981, 44162, 44197, 44344, 44534, 45696, 45740, 45764, 45852, 46215, 46354, 46416, 46510, 47101, 47317, 47551, 47565, 48146, 48573, 48854, 48879, 48932, 49365, 49963, 50345, 50522, 50576, 51068, 51156, 51225, 51332, 51417, 51797, 51813, 51849, 52368, 52784, 52962, 53596, 53724, 53973, 54319, 54419, 54541, 55173, 56356, 56965, 57030, 57112, 57116, 57547, 57651, 57987, 59105, 59238, 59815, 60240, 60616, 61312, 61381, 61551, 61788, 61908, 62035, 62059, 62103, 62291, 62461, 62630, 62874, 62922, 62932, 62944, 63020, 63240, 63255, 63509, 63772, 63784, 63819, 64092, 64187, 64249, 64270, 65157, 65196, 65304, 65644, 66028, 66177, 67036, 67039, 67251, 67284, 67309, 67365, 67871, 67976, 68018, 68326, 68338, 68839, 68848, 68909, 69098, 69131, 69324, 69760, 69764, 70099, 70388, 70630, 70875, 71098, 71221, 71286, 71324, 71442, 71843, 71980, 72092, 72143, 72571, 72951]"
"[7750, 4000]",,"[57, 632, 742, 815, 952, 964, 993, 1211, 1277, 1297, 1300, 1409, 1611, 1916, 1954, 1996, 2050, 2190, 2418, 2463, 2773, 2824, 3009, 3041, 3336, 4212, 4301, 4509, 4743, 5071, 5424, 5775, 5806, 5920, 6047, 6096, 6444, 6580, 6906, 7273, 7479, 7657, 7664, 8140, 8239, 8444, 8462, 8930, 9006, 9096, 9272, 9637, 9646, 9666, 10148, 10366, 10548, 11462, 11690, 11981, 12492, 12531, 12564, 12617, 12810, 12933, 12974, 13276, 13591, 13699, 13745, 13835, 13903, 14232, 14534, 14665, 14695, 15190, 15280, 15635, 15651, 15653, 16016, 16028, 16379, 16507, 16613, 16616, 16865, 16987, 17104, 17144, 17283, 17870, 17922, 18062, 18348, 18378, 18393, 18930, 19053, 19095, 19334, 19614, 19673, 19900, 20008, 20285, 20460, 20610, 20863, 20877, 21369, 21545, 21609, 22283, 22903, 23169, 23530, 23562, 23632, 23635, 24078, 24150, 24213, 24265, 24361, 24370, 24526, 24594, 24740, 24877, 25201, 25261, 25318, 25325, 25422, 25584, 25681, 26088, 26211, 26984, 27018, 27243, 27396, 27512, 27846, 27850, 27930, 28401, 28504, 28562, 28658, 28759, 28901, 29074, 29163, 29535, 29637, 29954, 30006, 30043, 30624, 30865, 30928, 31087, 31240, 31409, 31753, 31790, 32894, 32947, 33974, 34003, 34015, 34511, 34528, 34810, 34887, 34891, 34922, 34927, 35222, 35872, 35885, 36359, 37111, 37242, 37340, 37462, 37853, 37872, 37873, 38032, 38231, 38458, 38480, 38574, 38772, 38845, 39130, 39207, 39584, 39586, 39623, 39715, 39837, 40200, 40343, 40708, 40851, 41402, 41632, 42980, 43652, 43763, 44308, 44423, 44896, 45079, 45701, 45714, 45815, 46088, 46118, 46421, 46510, 46578, 46756, 46861, 46986, 47032, 47062, 47148, 47219, 47284, 47526, 47649, 47879, 48465, 48830, 48832, 48834, 48955, 49237, 49828, 49895, 50445, 50655, 50673, 50826, 51147, 51544, 51559, 51599, 51871, 52103, 52664, 53074, 53454, 53686, 53738, 53765, 53807, 53849, 54131, 54133, 54505, 54921, 55373, 55597, 55633, 55664, 55710, 55720, 55894, 55993, 56663, 56791, 56831, 57025, 57155, 57198, 57488, 57522, 57552, 57832, 57952, 58124, 58409, 58451, 58811, 59010, 59246, 59386, 59447, 59810, 60222, 60777, 61715, 61740, 61772, 62430, 62680, 63201, 63509, 63590, 63655, 63677, 64708, 64848, 65165, 65193, 65321, 65708, 65918, 66121, 66265, 66314, 67062, 67091, 67331, 67919, 68109, 68559, 68633, 68685, 68775, 68917, 69218, 69264, 69546, 69764, 69836, 69882, 69907, 70022, 70158, 70337, 70458, 70498, 71152, 71262, 71990, 72192]"
"[8250, 2250]",,"[580, 641, 1322, 2246, 2533, 5428, 5640, 9175, 12154, 13057, 13181, 14714, 16732, 18736, 21403, 22279, 27303, 28749, 30588, 30662, 31785, 33236, 34824, 36908, 37486, 38721, 40874, 41491, 42256, 45640, 49806, 50078, 52443, 53288, 53668, 54400, 54636, 55397, 56758, 58565, 63377, 63641, 63865, 64149, 65381, 66165, 66766, 66981, 69112, 70054, 70623, 71595, 71932, 72101]"
