,pos,win
0,"[[11950,6712],[7272,12187]]",1
1,"[[6536,12632],[8224,6236]]",1
2,"[[6420,12533],[10042,8035]]",1
3,"[[4922,9070],[10776,2640]]",0
4,"[[10969,8402],[6729,11669],[12241,10048]]",0
5,"[[10050,7389]]",0
6,"[[6225,12689],[4945,9413],[12066,7758]]",0
7,"[[10872,8206],[6793,7221],[5956,12506]]",0
8,"[[6435,12497],[10166,8126]]",1
9,"[[11121,4183]]",1
10,"[[5974,12465],[3293,9587]]",0
11,"[[3481,6692],[6197,12536]]",0
12,"[[11207,8494],[7757,10862],[14290,14131]]",1
13,"[[6055,12472],[9973,6656]]",1
14,"[[11419,7101],[11137,12484]]",1
15,"[[11106,8408],[7119,9559],[6384,12420]]",0
16,"[[10907,8864],[3674,11616]]",0
17,"[[11382,6229],[8419,8749]]",0
18,"[[10016,8768]]",1
19,"[[9765,6386]]",0
20,"[[6496,12284],[11665,6691],[7955,10006]]",1
21,"[[7239,10889],[12111,8454]]",1
22,"[[11097,8574],[10984,8576]]",0
23,"[[6551,12142],[5526,8818]]",1
24,"[[7472,9837],[11409,6524],[7212,4892]]",1
25,"[[11426,6307],[8052,9769],[5322,12426]]",0
26,"[[6298,12358],[6634,8274]]",1
27,"[[10554,8804],[4289,9877],[6763,12587],[12446,10669]]",1
28,"[[12489,6595],[7157,11138],[10558,8746],[6530,12638]]",1
29,"[[9353,9420]]",0
30,"[[7591,10978],[3133,13270]]",1
31,"[[9906,8817]]",0
32,"[[12278,6369],[7253,6986],[3572,8582]]",0
33,"[[10097,5359],[12595,5642]]",0
34,"[[9600,9345]]",1
35,"[[10627,2926]]",0
36,"[[7084,9993]]",0
37,"[[11702,1876]]",0
38,"[[2834,11253]]",1
39,"[[10868,8325],[9221,5677]]",0
40,"[[4369,9199],[3496,8747]]",0
41,"[[8021,10058],[11670,6550],[8829,13541]]",1
42,"[[6608,12546],[6991,6814],[11186,5809]]",0
43,"[[9855,8899]]",1
44,"[[2193,8336],[10856,7026]]",0
45,"[[8908,9802]]",0
46,"[[7978,9950],[4023,10361]]",1
47,"[[10133,7402]]",0
48,"[[5896,12327],[10974,4920],[7781,5274]]",1
49,"[[11404,6262],[9238,6154]]",1
50,"[[6206,12288],[10841,5003],[11054,6743],[14472,14006]]",1
51,"[[9175,9464]]",0
52,"[[6909,12505],[10872,5102],[11117,8348],[7217,7784]]",0
53,"[[12417,6385],[10537,8850]]",1
54,"[[10527,8833]]",1
55,"[[6724,9025]]",1
56,"[[6459,12539],[8784,7809]]",0
57,"[[7858,3611],[11639,1365]]",0
58,"[[7341,11737]]",0
59,"[[11975,6539],[8050,3327],[11176,8376]]",0
60,"[[6262,12394],[10445,5307],[13470,3392]]",1
61,"[[6448,12465],[2983,5437]]",0
62,"[[12241,6580],[6591,9065]]",0
63,"[[5918,12681],[9960,6626]]",0
64,"[[6303,12527],[7596,7158],[11407,6345]]",1
65,"[[10828,8609],[11022,5028],[7889,10000]]",0
66,"[[2287,8514],[6970,6220]]",0
67,"[[12448,6514],[10674,8894],[3259,12819]]",1
68,"[[7232,11227],[12110,8717]]",0
69,"[[11080,6994],[11764,3526]]",1
70,"[[11065,8567],[7763,10617],[1692,11091]]",0
71,"[[8157,10301]]",1
72,"[[11669,2907]]",1
73,"[[7326,11781]]",1
74,"[[10719,8798],[12134,1843]]",0
75,"[[9939,6213]]",1
76,"[[7056,4308]]",1
77,"[[12517,6389],[13720,14067],[3020,12145]]",0
78,"[[6336,12214],[3759,12788]]",0
79,"[[4645,9243],[6923,6316]]",1
80,"[[12446,6535],[8344,6928]]",0
81,"[[3648,8876]]",0
82,"[[7893,9594],[11982,2315]]",1
83,"[[5948,12411],[9574,5626]]",1
84,"[[12350,6452],[7463,10994],[10879,1352]]",0
85,"[[10706,8821],[2374,12043]]",1
86,"[[6723,12481],[3469,8917]]",1
87,"[[6185,12415],[3605,10026]]",1
88,"[[8087,10372]]",0
89,"[[7570,10968],[8934,11010]]",0
90,"[[11642,7225],[7276,10918],[7997,10029]]",0
91,"[[3830,9364],[10183,5854]]",0
92,"[[6439,12549],[8250,10083]]",1
93,"[[12543,6567],[5320,9152]]",0
94,"[[12473,6518],[7037,11221],[12928,12300]]",0
95,"[[9966,6522]]",0
96,"[[11087,8498],[8536,4825]]",0
97,"[[10282,5718],[5028,8638]]",1
98,"[[10015,9073]]",1
99,"[[11005,6869],[5547,8635]]",0
100,"[[8029,9625],[4184,9573],[11080,8370]]",1
101,"[[12614,6492],[7907,9413],[2495,13144]]",0
102,"[[6447,12543],[7954,5272]]",1
103,"[[12572,6558],[7160,7799],[7219,11366]]",1
104,"[[7977,10266]]",1
105,"[[6316,12262],[3587,8949]]",0
106,"[[10047,7719]]",0
107,"[[7690,10148],[4754,9340],[13215,13602]]",1
108,"[[6552,12318],[13250,12602]]",1
109,"[[4739,8251]]",1
110,"[[2873,11327]]",0
111,"[[6579,12439],[11118,8306],[8512,4789]]",0
112,"[[11701,6531],[7460,11059],[10236,13851]]",0
113,"[[11199,8512],[7389,11030],[6700,12563],[8274,3559]]",0
114,"[[7282,11723],[12150,8872]]",1
115,"[[11656,7705]]",1
116,"[[9825,6480]]",1
117,"[[12498,6534],[9342,9528]]",0
118,"[[7291,10928],[12595,12451]]",1
119,"[[10929,8516],[11093,3853]]",0
120,"[[7883,10466]]",0
121,"[[12191,6443],[5363,9180]]",0
122,"[[7402,9944],[11080,5243],[10999,4999]]",0
123,"[[7665,10298]]",1
124,"[[6449,12653],[4857,8325]]",1
125,"[[10807,8750],[3778,7878],[9960,6827]]",0
126,"[[8024,9812],[11160,7048],[3472,8506]]",0
127,"[[12115,6465],[5997,9336]]",1
128,"[[12433,6694],[9185,9578]]",0
129,"[[6578,12471],[3945,9425],[2679,10076]]",1
130,"[[6361,8187]]",1
131,"[[6508,12306],[3536,6635],[3156,11064]]",0
132,"[[11910,2171]]",0
133,"[[3221,7324],[4157,11752]]",0
134,"[[7405,10951],[7571,8284]]",1
135,"[[11982,6963]]",1
136,"[[8112,10244]]",0
137,"[[11452,7592]]",0
138,"[[6497,12362],[5371,8783]]",1
139,"[[10728,8911],[5361,7752]]",0
140,"[[6582,12667],[11230,5814]]",0
141,"[[12432,6402],[9088,5929]]",1
142,"[[11140,8321],[8104,9981],[6495,12428]]",1
143,"[[6420,12297],[10610,4871],[11681,6902],[11014,8549]]",0
144,"[[12270,6763],[7215,11150],[2959,13024]]",1
145,"[[6989,12717]]",0
146,"[[7232,9981],[2903,7498]]",0
147,"[[10035,6933]]",0
148,"[[6145,12550],[14207,14149],[7767,6629]]",0
149,"[[6852,12642],[3602,8166],[3471,6697]]",0
150,"[[12567,6320],[4538,9353],[7224,9715]]",1
151,"[[7507,11549],[3939,9623],[8197,5998]]",0
152,"[[12470,6458],[13593,14244],[10272,5625]]",1
153,"[[6450,12427],[3788,8554],[11737,7341]]",1
154,"[[10556,5444],[11165,1960]]",1
155,"[[12545,6507],[8274,10351]]",0
156,"[[8269,10216]]",0
157,"[[10437,5505],[6820,9012]]",1
158,"[[9201,9417]]",1
159,"[[10832,8700],[5449,9179]]",1
160,"[[12703,6443],[7631,10962],[5699,8792]]",0
161,"[[12151,6837],[3364,10846]]",1
162,"[[12517,5975],[4188,9533],[7716,11045],[12548,5885]]",0
163,"[[10496,8934]]",0
164,"[[6635,12321],[12948,12159]]",1
165,"[[10553,5422],[8571,5900]]",0
166,"[[8268,10367]]",1
167,"[[5842,12654],[13463,12669]]",1
168,"[[8767,7791]]",1
169,"[[6271,12547],[10479,5451],[12061,6630],[12673,14170]]",1
170,"[[12938,11606]]",0
171,"[[9790,9196]]",0
172,"[[5818,9407]]",0
173,"[[5923,12470],[8375,3618]]",0
174,"[[7564,9807],[7910,9605]]",1
175,"[[7787,9770],[3788,9458],[7213,10805]]",0
176,"[[11114,8459],[1984,11557]]",0
177,"[[12452,6491],[9831,9168]]",1
178,"[[7592,7064],[8855,12966]]",0
179,"[[7621,9705],[11141,6983],[14086,4587]]",0
180,"[[6498,12340],[3310,7806],[4662,6530]]",0
181,"[[5860,12591],[7484,7976]]",0
182,"[[12445,6566],[6747,11470],[6895,11496]]",0
183,"[[7700,11063],[10019,8882]]",0
184,"[[6448,12262],[9527,5325]]",0
185,"[[6330,12379],[10562,5498],[12203,6816],[13319,14135]]",1
186,"[[10874,8473],[5518,9107]]",1
187,"[[11377,6258],[7252,11009],[10482,7864]]",1
188,"[[7074,10988],[6909,8940]]",1
189,"[[2978,11107]]",0
190,"[[11116,5756]]",0
191,"[[7170,9901],[3644,9006]]",1
192,"[[11986,6546],[11184,8380],[5887,12659],[4847,9703]]",0
193,"[[7365,11050],[11007,6912],[14228,14255]]",0
194,"[[11545,6477],[8777,9901]]",0
195,"[[8860,9397]]",1
196,"[[6109,12547],[3638,8734]]",1
197,"[[11926,6982]]",1
198,"[[6348,12226],[3716,8177],[3203,11011]]",1
199,"[[6649,6974],[4524,7401]]",0
200,"[[10973,5499],[6499,12258]]",0
201,"[[6564,12605],[11631,7534]]",1
202,"[[12243,6488],[8070,9858],[3671,13139]]",1
203,"[[12341,6487],[7856,9614],[6182,12419],[12563,11955]]",1
204,"[[8573,10091]]",1
205,"[[6249,12379],[7967,9627],[11215,5456]]",0
206,"[[12224,6568],[7414,11180],[8461,5749]]",1
207,"[[12495,6388],[9574,5723]]",0
208,"[[10776,5430],[4218,11806]]",0
209,"[[10873,8587],[3329,7715],[8199,10155]]",0
210,"[[11043,8377],[7203,11751]]",0
211,"[[2210,11840],[10728,5021]]",1
212,"[[11706,6560],[6203,10269]]",0
213,"[[5372,8557]]",1
214,"[[12288,6576],[4233,9503],[6362,9423]]",0
215,"[[11094,5687]]",1
216,"[[2553,11602]]",0
217,"[[6086,12466],[11097,4794]]",1
218,"[[12038,6632],[7467,9700],[6165,12546],[3993,9841]]",0
219,"[[11482,6416],[7545,9991],[5845,7495]]",1
220,"[[10935,8496],[7044,6871],[7349,9858]]",1
221,"[[11729,6551],[3644,8250]]",0
222,"[[12015,6658],[8196,10372]]",1
223,"[[7777,10271]]",1
224,"[[6732,12538],[11151,8350],[12067,3447]]",1
225,"[[6462,12417],[7635,7420],[11021,8277]]",1
226,"[[10245,8950]]",1
227,"[[11061,5634]]",0
228,"[[7441,10955],[3445,7809],[11704,7095]]",1
229,"[[12524,6455],[7024,11264],[6482,12429],[12164,9254]]",1
230,"[[12356,6585],[7345,10214]]",1
231,"[[6289,12415],[12093,8092]]",1
232,"[[7823,6003]]",1
233,"[[11642,6513],[5246,8634]]",1
234,"[[8264,10299]]",1
235,"[[3630,8714]]",0
236,"[[10330,8937]]",0
237,"[[9664,6284]]",0
238,"[[3805,10848]]",1
239,"[[10591,8789],[9390,9479]]",0
240,"[[6488,12500],[11130,4842]]",0
241,"[[6658,12423],[3872,9736],[10480,7472]]",0
242,"[[12569,6579],[4835,11565]]",0
243,"[[10998,6961],[10891,3546]]",1
244,"[[5494,8564]]",1
245,"[[9762,8957]]",1
246,"[[11668,6613],[3657,8761]]",1
247,"[[11401,8662],[6942,11418],[6415,12635],[12152,9663]]",1
248,"[[11140,5797]]",0
249,"[[12206,6482],[7799,9795],[9673,9252]]",1
